key,message_id,status,timestamp
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQ0U5NjE1ODM4OTFEQUNFRUMwAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQ0U5NjE1ODM4OTFEQUNFRUMwAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMjRFMTBBMTNDMzQ1RjM0MDhCAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMjRFMTBBMTNDMzQ1RjM0MDhCAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSODIwQTlDMkRGQTQ3MTZBMTFEAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSODIwQTlDMkRGQTQ3MTZBMTFEAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQTkyMUNEMzc0N0YxQkI5RTZGAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSQTkyMUNEMzc0N0YxQkI5RTZGAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRjQzNDdBOUJEMDA4NTIzNDM1AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSRjQzNDdBOUJEMDA4NTIzNDM1AA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMjE1ODE0QTQ0RDg3MEZEQTc2AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMjE1ODE0QTQ0RDg3MEZEQTc2AA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMDE2QUEzNDA2QjlBN0YyRDBCAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSMDE2QUEzNDA2QjlBN0YyRDBCAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNDU1QUE3ODg2RUE5NThGNEZFAA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNDU1QUE3ODg2RUE5NThGNEZFAA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNzc3MzJGN0EyRTcyNzBCQjI1AA==:delivered,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNzc3MzJGN0EyRTcyNzBCQjI1AA==,delivered,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNDU1QUE3ODg2RUE5NThGNEZFAA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNDU1QUE3ODg2RUE5NThGNEZFAA==,read,
wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNzc3MzJGN0EyRTcyNzBCQjI1AA==:read,wamid.HBgMOTE5MTA4NzExNTk5FQIAERgSNzc3MzJGN0EyRTcyNzBCQjI1AA==,read,
